"ID_RSU";"LCZ_PRIMARY";"LCZ_UNIQUENESS_VALUE";"ID_RSU.1";"LCZ_PRIMARY.1";"LCZ_UNIQUENESS_VALUE.1";"area";"agree";"location"
726;"Bare rock paved";NA;211;"Sparsely Built";0.994618067427207;23.58085915025;FALSE;"Redon"
628;"Dense trees";NA;211;"Sparsely Built";0.994618067427207;499.633993998927;FALSE;"Redon"
399;"Scattered trees";NA;211;"Sparsely Built";0.994618067427207;359.935643216595;FALSE;"Redon"
424;"Sparsely Built";1;220;"Sparsely Built";0.629538325087819;11.9628328932449;TRUE;"Redon"
483;"Sparsely Built";1;220;"Sparsely Built";0.629538325087819;14350.2798494932;TRUE;"Redon"
558;"Large low";NA;220;"Sparsely Built";0.629538325087819;17.6279697847785;FALSE;"Redon"
418;"Dense trees";NA;220;"Sparsely Built";0.629538325087819;158.671372025798;FALSE;"Redon"
444;"Low plants";NA;220;"Sparsely Built";0.629538325087819;69.3033027286638;FALSE;"Redon"
441;"Sparsely Built";1;223;"Open low";0.724019866306409;20.7183732273988;FALSE;"Redon"
477;"Sparsely Built";0.920165357842559;223;"Open low";0.724019866306409;4.05024659092305;FALSE;"Redon"
497;"Open low";0.196115506076856;223;"Open low";0.724019866306409;965.543349755928;TRUE;"Redon"
499;"Open low";0.0782548445173729;223;"Open low";0.724019866306409;275.12000000081;TRUE;"Redon"
500;"Open low";0.238084361499886;223;"Open low";0.724019866306409;12852.5840743796;TRUE;"Redon"
531;"Sparsely Built";0.567013665405127;223;"Open low";0.724019866306409;71.1126440213993;FALSE;"Redon"
440;"Sparsely Built";0.666007687843215;230;"Open low";0.46569971183266;46.904308855359;FALSE;"Redon"
465;"Sparsely Built";1;230;"Open low";0.46569971183266;3.93762556731235;FALSE;"Redon"
518;"Sparsely Built";0.80577474521471;230;"Open low";0.46569971183266;9923.30579895992;FALSE;"Redon"
543;"Sparsely Built";0.564072656142617;230;"Open low";0.46569971183266;12.0578319753986;FALSE;"Redon"
544;"Large low";NA;230;"Open low";0.46569971183266;0.00136239796120208;FALSE;"Redon"
489;"Bare rock paved";NA;230;"Open low";0.46569971183266;2.83574280270841;FALSE;"Redon"
425;"Scattered trees";NA;230;"Open low";0.46569971183266;28.2583306851811;FALSE;"Redon"
453;"Sparsely Built";1;233;"Open low";0.257162252934841;145.544072810124;FALSE;"Redon"
477;"Sparsely Built";0.920165357842559;233;"Open low";0.257162252934841;29.455895367958;FALSE;"Redon"
500;"Open low";0.238084361499886;233;"Open low";0.257162252934841;0.57259630470071;TRUE;"Redon"
531;"Sparsely Built";0.567013665405127;233;"Open low";0.257162252934841;10087.1900013424;FALSE;"Redon"
562;"Sparsely Built";0.291669813158481;233;"Open low";0.257162252934841;11160.9150776449;FALSE;"Redon"
574;"Sparsely Built";0.81923609073883;233;"Open low";0.257162252934841;42.4413115795251;FALSE;"Redon"
592;"Open low";0.590610461121593;233;"Open low";0.257162252934841;406.452271755552;TRUE;"Redon"
748;"Open low";0.213118522713949;233;"Open low";0.257162252934841;36.7103263473127;TRUE;"Redon"
620;"Large low";NA;233;"Open low";0.257162252934841;21784.3233311954;FALSE;"Redon"
693;"Scattered trees";NA;233;"Open low";0.257162252934841;12.4579280116595;FALSE;"Redon"
440;"Sparsely Built";0.666007687843215;241;"Open low";0.258123622736349;74.3945959559642;FALSE;"Redon"
518;"Sparsely Built";0.80577474521471;241;"Open low";0.258123622736349;69.4603991423501;FALSE;"Redon"
543;"Sparsely Built";0.564072656142617;241;"Open low";0.258123622736349;94902.390907051;FALSE;"Redon"
674;"Open low";1;241;"Open low";0.258123622736349;25.4231978892349;TRUE;"Redon"
695;"Open low";0.665952915876931;241;"Open low";0.258123622736349;34.4615421180497;TRUE;"Redon"
541;"Large low";NA;241;"Open low";0.258123622736349;274.405485048366;FALSE;"Redon"
544;"Large low";NA;241;"Open low";0.258123622736349;15767.998637624;FALSE;"Redon"
580;"Dense trees";NA;241;"Open low";0.258123622736349;125.827759053282;FALSE;"Redon"
582;"Scattered trees";NA;241;"Open low";0.258123622736349;19.253493410768;FALSE;"Redon"
730;"Bare rock paved";NA;241;"Open low";0.258123622736349;170.60998849824;FALSE;"Redon"
425;"Scattered trees";NA;241;"Open low";0.258123622736349;5.59083671285771;FALSE;"Redon"
523;"Sparsely Built";0.826851968025596;247;"Sparsely Built";0.998045367059907;12.6784775182296;TRUE;"Redon"
626;"Sparsely Built";1;247;"Sparsely Built";0.998045367059907;2234.4882594689;TRUE;"Redon"
670;"Sparsely Built";1;247;"Sparsely Built";0.998045367059907;19.2430198218208;TRUE;"Redon"
714;"Sparsely Built";1;247;"Sparsely Built";0.998045367059907;16.8291783938184;TRUE;"Redon"
722;"Sparsely Built";0.586259777450432;247;"Sparsely Built";0.998045367059907;45.083669981168;TRUE;"Redon"
735;"Sparsely Built";0.80381368670231;247;"Sparsely Built";0.998045367059907;43.7137519995849;TRUE;"Redon"
503;"Dense trees";NA;247;"Sparsely Built";0.998045367059907;843.823655648448;FALSE;"Redon"
493;"Dense trees";NA;247;"Sparsely Built";0.998045367059907;951.206926562649;FALSE;"Redon"
642;"Dense trees";NA;247;"Sparsely Built";0.998045367059907;3226.6204501372;FALSE;"Redon"
507;"Scattered trees";NA;247;"Sparsely Built";0.998045367059907;3.30583379045129;FALSE;"Redon"
593;"Low plants";NA;247;"Sparsely Built";0.998045367059907;10.5207252527107;FALSE;"Redon"
551;"Low plants";NA;247;"Sparsely Built";0.998045367059907;37905.625123499;FALSE;"Redon"
558;"Large low";NA;253;"Open low";0.0606276060554452;2.37630787375383;FALSE;"Redon"
589;"Large low";NA;253;"Open low";0.0606276060554452;36386.3892095042;FALSE;"Redon"
418;"Dense trees";NA;253;"Open low";0.0606276060554452;0.365884696075227;FALSE;"Redon"
587;"Dense trees";NA;253;"Open low";0.0606276060554452;291.333835165016;FALSE;"Redon"
721;"Bare rock paved";NA;253;"Open low";0.0606276060554452;0.25730218514218;FALSE;"Redon"
444;"Low plants";NA;253;"Open low";0.0606276060554452;75.9751868059539;FALSE;"Redon"
574;"Sparsely Built";0.81923609073883;260;"Open low";0.722746863409091;3.24187799874926;FALSE;"Redon"
638;"Sparsely Built";0.0978120980482985;260;"Open low";0.722746863409091;7416.52667213487;FALSE;"Redon"
662;"Sparsely Built";1;260;"Open low";0.722746863409091;8.2836297773174;FALSE;"Redon"
620;"Large low";NA;260;"Open low";0.722746863409091;50.1416678519454;FALSE;"Redon"
939;"Sparsely Built";0.914899288590476;261;"Sparsely Built";1;18.8075495623052;TRUE;"Redon"
849;"Bare rock paved";NA;261;"Sparsely Built";1;5.55496359348763;FALSE;"Redon"
699;"Low plants";NA;261;"Sparsely Built";1;58.0947691725887;FALSE;"Redon"
853;"Low plants";NA;261;"Sparsely Built";1;3.44648964598309;FALSE;"Redon"
